City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Bilibino,RU,68.0546,166.4372,24.22,97,100,1.59,light snow
170,Nyurba,RU,63.2842,118.3319,40.48,74,100,2.77,overcast clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,100,90,37.98,overcast clouds
172,Parabel,RU,58.6978,81.4825,34.83,87,100,6.11,overcast clouds
173,Huanren,CN,41.2647,125.3667,56.01,96,96,2.59,overcast clouds
174,Muros,ES,42.7762,-9.0603,80.98,53,10,7.4,clear sky
175,Denpasar,ID,-8.65,115.2167,80.26,89,40,13.8,scattered clouds
176,Sharjah,AE,25.3573,55.4033,94.98,52,0,11.5,clear sky
177,Tuatapere,NZ,-46.1333,167.6833,48.81,90,91,15.26,overcast clouds
178,Sawtell,AU,-30.3833,153.1,55.42,76,0,6.91,clear sky
179,Varca,IN,15.2167,73.9167,78.06,88,100,7.49,light rain
180,Port Alfred,ZA,-33.5906,26.891,75.72,53,100,4.45,overcast clouds
181,Richards Bay,ZA,-28.783,32.0377,72.63,57,87,18.19,overcast clouds
182,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,90,16.11,mist
183,Olafsvik,IS,64.8945,-23.7142,39.51,97,100,15.73,overcast clouds
184,Boa Vista,BR,2.8197,-60.6733,87.78,58,40,9.22,scattered clouds
185,Sarkand,KZ,45.41,79.9186,49.59,31,62,2.19,broken clouds
186,North Platte,US,41.1239,-100.7654,56.01,63,1,3.0,clear sky
187,Salaverry,PE,-8.2333,-78.9667,61.45,88,95,4.21,overcast clouds
188,Laguna,US,38.421,-121.4238,73.22,75,1,0.0,clear sky
189,Roald,NO,62.5833,6.1333,52.9,81,75,12.66,broken clouds
190,Kuah,MY,6.3265,99.8432,83.52,74,80,6.2,broken clouds
191,Upernavik,GL,72.7868,-56.1549,25.05,75,66,7.07,broken clouds
192,Puerto Ayora,EC,-0.7393,-90.3518,69.12,88,99,9.98,overcast clouds
193,Placido De Castro,BR,-10.3353,-67.1856,97.25,31,22,2.48,few clouds
194,Quatre Cocos,MU,-20.2078,57.7625,73.09,77,27,15.14,scattered clouds
195,Lebu,CL,-37.6167,-73.65,54.12,67,13,7.47,few clouds
196,Kitzbuhel,AT,47.4464,12.3922,68.86,38,5,3.13,clear sky
197,Turkistan,KZ,43.0,68.0,72.55,17,22,7.81,few clouds
198,Kutum,SD,14.2,24.6667,90.25,19,99,12.26,overcast clouds
199,Fortuna,US,40.5982,-124.1573,51.98,94,90,1.99,overcast clouds
200,Sept-Iles,CA,50.2001,-66.3821,51.26,96,100,1.01,overcast clouds
201,Mackay,AU,-21.15,149.2,59.04,65,5,9.04,clear sky
202,Boysun,UZ,38.2061,67.1986,68.43,23,0,3.83,clear sky
203,Puerto Princesa,PH,9.7392,118.7353,79.7,83,100,2.8,overcast clouds
204,Terrace,CA,54.5163,-128.6035,48.42,100,90,4.61,overcast clouds
