City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Abilene,US,68.49,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
262,Maruko,JP,65.93,overcast clouds,36.3167,138.2667,ミノワ・リバーサイドオートキャンプ
263,Katsuura,JP,78.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
266,Daru,PG,75.56,overcast clouds,-9.0763,143.2092,Daru Lodge
267,Shasta Lake,US,72.32,scattered clouds,40.6804,-122.3708,Shasta Dam Motel
269,Pathein,MM,75.45,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
271,Qorveh,IR,74.89,clear sky,35.1664,47.8045,بانک مهر ایران
274,Bandarbeyla,SO,80.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
275,Panama City,PA,81.18,broken clouds,8.9936,-79.5197,Riande Urban Hotel
276,Abha,SA,75.45,broken clouds,18.2164,42.5053,Abha Hotel
277,Ximei,CN,78.35,light rain,24.9639,118.3794,Nan'an Hotel
278,Nieves,PH,76.3,broken clouds,15.3274,120.9485,Bill's Inn
279,Rosetta,EG,80.51,clear sky,31.4044,30.4164,Green Valley
282,Bethel,US,77.85,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
283,Tocopilla,CL,67.03,clear sky,-22.092,-70.1979,Hotel Galvarino
285,Cervo,ES,75.2,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
292,Bad Durrenberg,DE,73.87,clear sky,51.3,12.0667,"Hotel ""Altes Salzamt"""
294,Campiglia Marittima,IT,81.52,few clouds,43.0602,10.6152,Hotel Terme di Venturina
295,Faanui,PF,76.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
296,Alofi,NU,74.57,scattered clouds,-19.0595,-169.9187,Taloa Heights
297,Vaitape,PF,76.78,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
298,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
299,Ashtian,IR,77.58,clear sky,34.5217,50.0019,بنیاد مسکن شهرستان آشتیان
